epoch,total_loss,erm_loss,penalty,train_acc,val_acc,val_worst_env_acc,ema_val_acc,ema_val_worst_env_acc,selected_val_acc,val_hybrid_acc,ema_val_hybrid_acc,irm_weight,lr
1,1.5170443656473507,1.4760660087531394,0.040978357472458406,0.37006578947368424,0.45707070707070707,0.4404040404040404,0.21868686868686868,0.18888888888888888,0.44873737373737377,0.44873737373737377,0.2037878787878788,1.0,0.00035
2,1.2039848763933065,1.1794392193859888,0.024545657367882733,0.45951417004048584,0.5126262626262627,0.5121212121212121,0.4262626262626263,0.41919191919191917,0.5123737373737374,0.5123737373737374,0.42272727272727273,1.0,0.00035
3,1.1258421175875644,1.102238969764246,0.02360314958463027,0.4889929149797571,0.5898989898989899,0.5424242424242425,0.4722222222222222,0.45252525252525255,0.5661616161616162,0.5661616161616162,0.4623737373737374,1.0,0.00035
4,1.048395916035301,1.0267125544277762,0.021683362135046205,0.5179655870445344,0.6242424242424243,0.598989898989899,0.51010101010101,0.498989898989899,0.6116161616161616,0.6116161616161616,0.5045454545454545,1.0,0.00035
5,0.9918560670454976,0.9705640022088642,0.021292067305333364,0.5507338056680162,0.5747474747474748,0.5686868686868687,0.5404040404040404,0.5252525252525253,0.5717171717171717,0.5717171717171717,0.5328282828282829,1.0,0.00035
6,0.9493423097046764,0.9281756631758532,0.02116664972140733,0.579832995951417,0.6196969696969697,0.5838383838383838,0.5888888888888889,0.5626262626262626,0.6017676767676767,0.6017676767676767,0.5757575757575757,1.0,0.00035
7,0.8888898882788685,0.8700316591784056,0.01885823016038874,0.6031123481781376,0.6737373737373737,0.6545454545454545,0.603030303030303,0.5555555555555556,0.6641414141414141,0.6641414141414141,0.5792929292929293,1.0,0.00035
8,0.8193021283941231,0.7980458556640486,0.021256272668744296,0.6540991902834008,0.6853535353535354,0.6656565656565656,0.6146464646464647,0.5686868686868687,0.6755050505050505,0.6755050505050505,0.5916666666666667,1.0,0.00035
9,0.7876923717709206,0.7575658258156255,0.030126546393178057,0.6744686234817814,0.7742424242424243,0.7707070707070707,0.6424242424242425,0.602020202020202,0.7724747474747475,0.7724747474747475,0.6222222222222222,1.0,0.00035
10,0.7576265362834158,0.7245323365999137,0.03309419978244927,0.6896508097165992,0.7833333333333333,0.7535353535353535,0.6797979797979798,0.6353535353535353,0.7684343434343435,0.7684343434343435,0.6575757575757576,1.0,0.00035
11,0.7049012362715686,0.6724014599554935,0.03095216914107184,0.7179908906882592,0.7974747474747474,0.7595959595959596,0.7055555555555556,0.6636363636363637,0.7785353535353535,0.7785353535353535,0.6845959595959596,1.05,0.00035
12,0.6481260436507854,0.6143218730142724,0.030731063378552494,0.7496204453441295,0.8156565656565656,0.805050505050505,0.7333333333333333,0.694949494949495,0.8103535353535354,0.8103535353535354,0.7141414141414142,1.1,0.00035
13,0.6573515883100177,0.610486842661734,0.04075195356192037,0.7532894736842105,0.806060606060606,0.7848484848484848,0.7611111111111111,0.7141414141414142,0.7954545454545454,0.7954545454545454,0.7376262626262626,1.15,0.00035
14,0.6219129993124046,0.5770322738992057,0.037400602861305796,0.7758097165991903,0.8646464646464647,0.8242424242424242,0.7868686868686868,0.7414141414141414,0.8444444444444444,0.8444444444444444,0.7641414141414141,1.2,0.00035
15,0.5817061653021376,0.5329700416398917,0.03898889821836125,0.7877024291497976,0.8722222222222222,0.8484848484848485,0.8191919191919191,0.7868686868686868,0.8603535353535354,0.8603535353535354,0.803030303030303,1.25,0.00035
16,0.5622515460016274,0.5053861766209004,0.043742594259839625,0.8066801619433198,0.8717171717171717,0.8494949494949495,0.8404040404040404,0.8090909090909091,0.8606060606060606,0.8606060606060606,0.8247474747474748,1.3,0.00035
17,0.5223737723431606,0.4711712875708877,0.037927766510288737,0.8169281376518218,0.8671717171717171,0.8323232323232324,0.8575757575757575,0.8282828282828283,0.8497474747474747,0.8497474747474747,0.8429292929292929,1.35,0.00035
18,0.5052179848013619,0.45153903544914387,0.03834210804774123,0.832742914979757,0.8863636363636364,0.8585858585858586,0.8646464646464647,0.8353535353535354,0.8724747474747474,0.8724747474747474,0.8500000000000001,1.4,0.00035
19,0.4953768506103199,0.43956004028860857,0.03849435057659854,0.8321103238866396,0.9035353535353535,0.8828282828282829,0.8757575757575757,0.8505050505050505,0.8931818181818182,0.8931818181818182,0.8631313131313132,1.45,0.00035
20,0.4888208215897865,0.42622814674367787,0.04172845031259683,0.8384362348178138,0.8727272727272727,0.8444444444444444,0.8863636363636364,0.8646464646464647,0.8755050505050506,0.8585858585858586,0.8755050505050506,1.5,0.00035
21,0.4437980368311106,0.3928328534429855,0.03288076465632691,0.8527327935222672,0.8924242424242425,0.8616161616161616,0.896969696969697,0.8747474747474747,0.8858585858585859,0.877020202020202,0.8858585858585859,1.55,0.00035
22,0.475378615593138,0.39295776984710923,0.051513028046071926,0.8591852226720648,0.898989898989899,0.8767676767676768,0.8994949494949495,0.8747474747474747,0.8878787878787879,0.8878787878787879,0.8871212121212121,1.6,0.00035
23,0.460758130137737,0.39495925575132795,0.03987810681973488,0.8519736842105263,0.9090909090909091,0.895959595959596,0.9050505050505051,0.8808080808080808,0.9025252525252525,0.9025252525252525,0.8929292929292929,1.65,0.00035
24,0.3879945407270903,0.34185058626568754,0.027143501816456625,0.8689271255060729,0.9247474747474748,0.907070707070707,0.9111111111111111,0.8878787878787879,0.9159090909090909,0.9159090909090909,0.8994949494949496,1.7,0.00035
25,0.4298350536207921,0.3593666500408157,0.04026765942805435,0.8657641700404858,0.9040404040404041,0.8808080808080808,0.9136363636363637,0.8919191919191919,0.9027777777777778,0.8924242424242425,0.9027777777777778,1.75,0.00035
26,0.403024320720661,0.3446143429107994,0.03244998928528045,0.8739878542510121,0.9156565656565656,0.9030303030303031,0.9207070707070707,0.9030303030303031,0.9118686868686869,0.9093434343434343,0.9118686868686869,1.8,0.00035
27,0.4126599024724864,0.3355832756892872,0.04166304070170771,0.885247975708502,0.9101010101010101,0.8797979797979798,0.9227272727272727,0.9050505050505051,0.913888888888889,0.8949494949494949,0.913888888888889,1.85,0.00035
28,0.384504781741845,0.3179809581111317,0.035012538159855965,0.8833502024291497,0.9222222222222223,0.9050505050505051,0.9247474747474748,0.9090909090909091,0.9169191919191919,0.9136363636363637,0.9169191919191919,1.9,0.00035
29,0.38041616089430896,0.3109365747826785,0.035630555929130815,0.8876518218623481,0.9186868686868687,0.9,0.9267676767676768,0.9111111111111111,0.918939393939394,0.9093434343434343,0.918939393939394,1.95,0.00035
30,0.37782952687156346,0.2998054110509181,0.039012057844735944,0.8908147773279352,0.9297979797979798,0.9101010101010101,0.9308080808080809,0.9151515151515152,0.922979797979798,0.919949494949495,0.922979797979798,2.0,0.00035
31,0.33863731051384194,0.27861433685851483,0.030011487210991648,0.8967611336032388,0.9303030303030303,0.9171717171717172,0.9313131313131313,0.9171717171717172,0.9242424242424243,0.9237373737373737,0.9242424242424243,2.0,0.00035
32,0.34447351260947795,0.27965942706897673,0.03240704261883999,0.8977732793522267,0.9252525252525252,0.9040404040404041,0.9333333333333333,0.9181818181818182,0.9257575757575758,0.9146464646464647,0.9257575757575758,2.0,0.00035
33,0.32998027586140616,0.265446998088466,0.03226663851547723,0.9058704453441295,0.9136363636363637,0.902020202020202,0.9363636363636364,0.9202020202020202,0.9282828282828284,0.9078282828282829,0.9282828282828284,2.0,0.00035
34,0.31571021736392124,0.26162806171396,0.027041077489933087,0.9015688259109311,0.9378787878787879,0.9202020202020202,0.9368686868686869,0.9202020202020202,0.9290404040404041,0.9290404040404041,0.9285353535353535,2.0,0.00035
35,0.34362639596889377,0.27843164045529567,0.032597377881226755,0.9001771255060729,0.9383838383838384,0.9222222222222223,0.9378787878787879,0.9222222222222223,0.9303030303030304,0.9303030303030304,0.930050505050505,2.0,0.00035
36,0.2974087518115758,0.24791134933107778,0.024748701313538818,0.9070091093117408,0.9303030303030303,0.907070707070707,0.9378787878787879,0.9242424242424242,0.931060606060606,0.9186868686868687,0.931060606060606,2.0,0.00035
37,0.28183944526350935,0.23339892963045522,0.02422025801736705,0.9187753036437247,0.9398989898989899,0.9272727272727272,0.9393939393939394,0.9252525252525252,0.9335858585858585,0.9335858585858585,0.9323232323232323,2.0,0.00035
38,0.3064988394105724,0.24528237678080436,0.030608230573973553,0.9129554655870445,0.9383838383838384,0.9141414141414141,0.9409090909090909,0.9272727272727272,0.9340909090909091,0.9262626262626263,0.9340909090909091,2.0,0.00035
39,0.2966463195258065,0.23922631127933258,0.02871000362529046,0.9149797570850202,0.9444444444444444,0.9333333333333333,0.942929292929293,0.9292929292929293,0.9388888888888889,0.9388888888888889,0.9361111111111111,2.0,0.00035
40,0.296953136501042,0.23340112774025815,0.03177600441426783,0.9151062753036437,0.943939393939394,0.9383838383838384,0.9454545454545454,0.9333333333333333,0.9411616161616162,0.9411616161616162,0.9393939393939394,2.0,0.00035
41,0.2955779419374852,0.23852294477585115,0.028527498304684127,0.9163714574898786,0.9267676767676768,0.907070707070707,0.945959595959596,0.9343434343434344,0.9401515151515152,0.9169191919191919,0.9401515151515152,2.0,0.00035
42,0.2707103935903625,0.21981808530385435,0.02544615461440912,0.9240890688259109,0.9414141414141414,0.9252525252525252,0.9489898989898989,0.9383838383838384,0.9436868686868687,0.9333333333333333,0.9436868686868687,2.0,0.00035
43,0.2793133295167554,0.2294559299282217,0.02492869990314112,0.9158653846153846,0.9247474747474748,0.898989898989899,0.951010101010101,0.9424242424242424,0.9467171717171716,0.9118686868686869,0.9467171717171716,2.0,0.00035
44,0.269661597892461,0.21482394198295077,0.02741882848492795,0.9230769230769231,0.9186868686868687,0.8939393939393939,0.9525252525252526,0.9444444444444444,0.9484848484848485,0.9063131313131313,0.9484848484848485,2.0,0.00035
45,0.23542369650262088,0.19831404242257358,0.01855482662664174,0.9291497975708503,0.9434343434343434,0.9323232323232323,0.954040404040404,0.9444444444444444,0.9492424242424242,0.9378787878787879,0.9492424242424242,2.0,0.00035
46,0.2728377818186515,0.21808363545520104,0.027377073230035225,0.9214321862348178,0.953030303030303,0.9383838383838384,0.955050505050505,0.9454545454545454,0.9502525252525252,0.9457070707070707,0.9502525252525252,2.0,0.00035
47,0.24082454566953154,0.19236008576701888,0.024232229842941762,0.9314271255060729,0.9242424242424242,0.907070707070707,0.9570707070707071,0.9494949494949495,0.9532828282828283,0.9156565656565656,0.9532828282828283,2.0,0.00035
48,0.23552751008737907,0.19356452174454566,0.020981494189696817,0.930414979757085,0.9303030303030303,0.9121212121212121,0.9565656565656566,0.9484848484848485,0.9525252525252526,0.9212121212121211,0.9525252525252526,2.0,0.00035
49,0.2489526488248877,0.2046378223594987,0.022157413161275244,0.9282641700404858,0.9383838383838384,0.9222222222222223,0.9575757575757575,0.9474747474747475,0.9525252525252526,0.9303030303030304,0.9525252525252526,2.0,0.00035
50,0.24115148845019369,0.1897176832775114,0.02571690239386703,0.9356022267206477,0.9328282828282828,0.9232323232323232,0.9585858585858585,0.9484848484848485,0.9535353535353535,0.928030303030303,0.9535353535353535,2.0,0.00035
51,0.24486511935166985,0.19073485529148265,0.02706513214727481,0.9328188259109311,0.9166666666666666,0.8797979797979798,0.9595959595959596,0.9505050505050505,0.955050505050505,0.8982323232323233,0.955050505050505,2.0,0.00035
52,0.25154561703263023,0.1972837834826365,0.02713091653827785,0.9268724696356275,0.954040404040404,0.9404040404040404,0.9611111111111111,0.9535353535353536,0.9573232323232324,0.9472222222222222,0.9573232323232324,2.0,0.00035
53,0.21412954889690344,0.17948400818927568,0.01732277027027293,0.9353491902834008,0.8944444444444445,0.8858585858585859,0.9595959595959596,0.9494949494949495,0.9545454545454546,0.8901515151515151,0.9545454545454546,2.0,0.00035
54,0.2134324623581007,0.17240723201379118,0.020512614471748094,0.9385121457489879,0.953030303030303,0.9424242424242424,0.9611111111111111,0.9515151515151515,0.9563131313131313,0.9477272727272728,0.9563131313131313,2.0,0.00035
55,0.22329657671875075,0.1785893824388865,0.02235359779235281,0.9326923076923077,0.946969696969697,0.9434343434343434,0.9626262626262626,0.9515151515151515,0.9570707070707071,0.9452020202020202,0.9570707070707071,2.0,0.00035
56,0.20857399783515737,0.16827355131416427,0.020150223406545934,0.9412955465587044,0.9535353535353536,0.9373737373737374,0.9636363636363636,0.9515151515151515,0.9575757575757575,0.9454545454545455,0.9575757575757575,2.0,0.00035
57,0.22947969596817908,0.1741315514520414,0.027674071934391833,0.9412955465587044,0.9308080808080809,0.907070707070707,0.9646464646464646,0.9535353535353536,0.9590909090909091,0.918939393939394,0.9590909090909091,2.0,0.00035
58,0.20449955431510683,0.1656811804650163,0.019409187169423185,0.9406629554655871,0.95,0.9272727272727272,0.9641414141414142,0.9535353535353536,0.9588383838383838,0.9386363636363636,0.9588383838383838,2.0,0.00035
59,0.2120612262699165,0.16882890005132206,0.021616163258461708,0.9433198380566802,0.9121212121212121,0.8717171717171717,0.9646464646464646,0.9535353535353536,0.9590909090909091,0.8919191919191919,0.9590909090909091,2.0,0.00035
60,0.20776925459202483,0.16835422136703967,0.019707517051406633,0.9392712550607287,0.956060606060606,0.9434343434343434,0.9656565656565657,0.9555555555555556,0.9606060606060607,0.9497474747474748,0.9606060606060607,2.0,0.00035
61,0.22723218548273752,0.18028953947458673,0.02347132290333136,0.9371204453441295,0.9631313131313132,0.9474747474747475,0.9646464646464646,0.9545454545454546,0.9595959595959596,0.9553030303030303,0.9595959595959596,2.0,0.00035
62,0.19780993600364638,0.16195605080273107,0.01792694244822223,0.9428137651821862,0.9414141414141414,0.9090909090909091,0.9641414141414142,0.9535353535353536,0.9588383838383838,0.9252525252525252,0.9588383838383838,2.0,0.00035
63,0.19440902832533546,0.15551146422984147,0.019448782337076777,0.948001012145749,0.9580808080808081,0.9424242424242424,0.9646464646464646,0.9535353535353536,0.9590909090909091,0.9502525252525252,0.9590909090909091,2.0,0.00035
64,0.1987699332009805,0.15741593994743186,0.02067699694774125,0.9447115384615384,0.9454545454545454,0.9353535353535354,0.9651515151515152,0.9535353535353536,0.9593434343434344,0.9404040404040404,0.9593434343434344,2.0,0.00035
65,0.19313160258416945,0.15460989742656708,0.01926085266902895,0.9455971659919028,0.9404040404040404,0.9262626262626262,0.9646464646464646,0.9525252525252526,0.9585858585858587,0.9333333333333333,0.9585858585858587,2.0,0.00035
66,0.1739649079807917,0.14174561328839072,0.01610964717119456,0.9500253036437247,0.9525252525252526,0.9323232323232323,0.9656565656565657,0.9525252525252526,0.9590909090909091,0.9424242424242424,0.9590909090909091,2.0,0.000175
67,0.13796242664338124,0.10977058044374592,0.014095923208154308,0.9617914979757085,0.9606060606060606,0.9474747474747475,0.9656565656565657,0.9525252525252526,0.9590909090909091,0.954040404040404,0.9590909090909091,2.0,0.000175
68,0.12528795603594858,0.1037045014477316,0.010791727474475654,0.9638157894736842,0.9505050505050505,0.9292929292929293,0.9651515151515152,0.9525252525252526,0.9588383838383838,0.9398989898989899,0.9588383838383838,2.0,0.000175
69,0.16065689044917825,0.12245291309631033,0.019101988907040568,0.9583755060728745,0.9489898989898989,0.9272727272727272,0.9661616161616161,0.9545454545454546,0.9603535353535353,0.9381313131313131,0.9603535353535353,2.0,0.000175
70,0.13106275168115553,0.11074570756073784,0.010158521825463467,0.958755060728745,0.9601010101010101,0.9525252525252526,0.9671717171717171,0.9555555555555556,0.9613636363636364,0.9563131313131313,0.9613636363636364,2.0,0.000175
